,item_id,condition,question,sylls
0,1_A,Syntax norming,What broke?,2
1,1_B,Syntax norming,What broke?,2
2,2_A,Syntax norming,What broke?,2
3,2_B,Syntax norming,What broke?,2
4,3_A,Syntax norming,What broke?,2
5,3_B,Syntax norming,What broke?,2
6,4_A,Syntax norming,What sped up and pulled ahead?,7
7,4_B,Syntax norming,What sped up and pulled ahead?,7
8,5_A,Syntax norming,What sped up and pulled ahead?,7
9,5_B,Syntax norming,What sped up and pulled ahead?,7
10,6_A,Syntax norming,What did the wind blow away?,7
11,6_B,Syntax norming,What did the wind blow away?,7
12,7_A,Syntax norming,What got crushed?,3
13,7_B,Syntax norming,What got crushed?,3
14,8_A,Syntax norming,What did the wind blow away?,7
15,8_B,Syntax norming,What did the wind blow away?,7
16,9_A,Syntax norming,What cracked?,2
17,9_B,Syntax norming,What cracked?,2
18,10_A,Syntax norming,What was burned?,3
19,10_B,Syntax norming,What was burned?,3
20,11_A,Syntax norming,What came out with scratches all over it?,10
21,11_B,Syntax norming,What came out with scratches all over it?,10
22,12_A,Syntax norming,What was knocked off course?,5
23,12_B,Syntax norming,What was knocked off course?,5
24,13_A,Syntax norming,What broke?,2
25,13_B,Syntax norming,What broke?,2
26,14_A,Syntax norming,What fell over?,4
27,14_B,Syntax norming,What fell over?,4
28,15_A,Syntax norming,What melted?,3
29,15_B,Syntax norming,What melted?,3
30,16_A,Syntax norming,What got crushed?,3
31,16_B,Syntax norming,What got crushed?,3
32,17_A,Syntax norming,What melted?,3
33,17_B,Syntax norming,What melted?,3
34,18_A,Syntax norming,What could Daniel hear rattling?,8
35,18_B,Syntax norming,What could Daniel hear rattling?,8
36,19_A,Syntax norming,What got crushed?,3
37,19_B,Syntax norming,What got crushed?,3
38,20_A,Syntax norming,What rolled away?,4
39,20_B,Syntax norming,What rolled away?,4
40,21_A,Syntax norming,What wouldn't fit?,4
41,21_B,Syntax norming,What wouldn't fit?,4
42,22_A,Syntax norming,What gave way?,3
43,22_B,Syntax norming,What gave way?,3
44,23_A,Syntax norming,What was smashed to pieces?,6
45,23_B,Syntax norming,What was smashed to pieces?,6
46,24_A,Syntax norming,What shattered?,3
47,24_B,Syntax norming,What shattered?,3
48,25_A,Syntax norming,What was broken?,4
49,25_B,Syntax norming,What was broken?,4
50,26_A,Syntax norming,What was creased?,4
51,26_B,Syntax norming,What was creased?,4
52,27_A,Syntax norming,What made a hole in the lining?,8
53,27_B,Syntax norming,What made a hole in the lining?,8
54,28_A,Syntax norming,What hit Josh in the face?,6
55,28_B,Syntax norming,What hit Josh in the face?,6
56,29_A,Syntax norming,What melted?,3
