sent_id,order,item_id,item_type,physics_sent,physics_question,syntax_sent,syntax_question,syntax_NP1,syntax_NP2,expt_sent,expt_question,expt_NP1,expt_NP2,expt_physics_pref,expt_syntax_pref,symmetric,interactive,phyics_bias_raw,syntax_bias_raw,item_physics_bias,item_syntax_bias,loc_info,early_commitment
1,A,1_A,experimental,"If a steel plate falls on a glass plate, which is more likely to break?",,"When the white plate fell on the green plate, it broke.",What broke?,The white plate,The green plate,"When the steel plate fell on the glass plate, it broke.",What broke?,The steel plate,The glass plate,NP2,NP1,0,1,0.9,0.35,0.95,0.85,After PRO,0
1,B,1_B,experimental,"If a glass plate falls on a steel plate, which is more likely to break?",,"When the gren plate fell on the white plate, it broke.",What broke?,The green plate,The white plate,"When the glass plate fell on the steel plate, it broke.",What broke?,The glass plate,The steel plate,NP1,NP1,0,1,#REF!,0.35,#REF!,0.85,After PRO,0
2,A,2_A,experimental,"If a steel sword collides with a glass sword, which is more likely to break?",,"When Henry's sword collided with Jack's sword, it broke.",What broke?,Henry's sword,Jack's sword,"When the steel sword collided with the glass sword, it broke.",What broke?,The steel sword,The glass sword,NP2,NP1,1,1,0.9,0.35,0.95,0.15,After PRO,0
2,B,2_B,experimental,"If a glass sword collides with a steel sword, which is more likely to break?",,"When Jack's sword collided with Henry's sword, it broke.",What broke?,Jack's sword,Henry's sword,"When the glass sword collided with the steel sword, it broke.",What broke?,The glass sword,The steel sword,NP1,NP1,1,1,#REF!,0.35,#REF!,0.15,After PRO,0
3,A,3_A,experimental,"If a baseball collides with a bat, which is more likely to break in two?",,"When Robert's bat collided with Michael's bat, it broke in two.",What broke?,Robert's bat,Michael's bat,"When the baseball collided with the bat, it broke in two.",What broke?,The baseball,The bat,,,,,,,,,,
3,B,3_B,experimental,"If a bat collides with a baseball, which is more likely to break in two?",,"When Michael's bat collided with Robert's bat, it broke in two.",What broke?,Michael's bat,Robert's bat,"When the bat collided with the baseball, it broke in two.",What broke?,The bat,The baseball,,,,,,,,,,
4,A,4_A,experimental,"If a pig was running alongside a cheetah, which would be more likely to speed up and pull ahead?",,"The black pig was running alongside the white pig, but then it sped up and pulled ahead.",What sped up and pulled ahead?,The black pig,The white pig,"The pig was running alongside the cheetah, but then it sped up and pulled ahead.",What sped up and pulled ahead?,The pig,The cheetah,NP2,NP1,1,0,0.9,0.45,0.95,0.05,After PRO,0.25
4,B,4_B,experimental,"If a cheetah was running alongside a pig, which would be more likely to speed up and pull ahead?",,"The white pig was running alongside the black pig, but then it sped up and pulled ahead.",What sped up and pulled ahead?,The white pig,The black pig,"The cheetah was running alongside the pig, but then it sped up and pulled ahead.",What sped up and pulled ahead?,The cheetah,The pig,NP1,NP1,1,0,#REF!,0.45,#REF!,0.05,After PRO,0.25
5,A,5_A,experimental,"If a bicycle was going alongside a car, which would be more likely to speed up and pull ahead?",,The white car was going alongside the green car but then it sped up and pulled ahead.,What sped up and pulled ahead?,The white car,The green car,The bicycle was going alongside the car but then it sped up and pulled ahead.,What sped up and pulled ahead?,The bicycle,The car,NP2,NP1,1,0,0.8,0.45,0.9,0.95,After PRO,0.25
5,B,5_B,experimental,"If a car was going alongside a bicycle, which would be more likely to speed up and pull ahead?",,The green car was going alongside the white car but then it sped up and pulled ahead.,What sped up and pulled ahead?,The green car,The white car,The car was going alongside the bicycle but then it sped up and pulled ahead.,What sped up and pulled ahead?,The car,The bicycle,NP1,NP1,1,0,#REF!,0.45,#REF!,0.95,After PRO,0.25
